ms_zoning,neighborhood,condition_2,overall_qual,roof_matl,mas_vnr_area,exter_qual,bsmt_qual,heating_qc,central_air,electrical,kitchen_qual,totrms_abvgrd,functional,garage_type,garage_finish,garage_area,paved_drive,sale_type,saleprice,age,total_hse_area,total_bathrms
RL,Edwards,Norm,4,CompShg,0.0,3,3,TA,N,SBrkr,TA,4,Mod,Attchd,Unf,336.0,N,WD ,109900,61,1726.0,1.0
RL,Mitchel,Norm,7,CompShg,94.0,3,4,Ex,Y,SBrkr,TA,9,Typ,Attchd,Fin,650.0,Y,WD ,188000,13,2996.0,2.5
RM,BrkSide,Norm,6,CompShg,0.0,3,3,Ex,Y,FuseF,TA,6,Typ,Detchd,Unf,280.0,Y,WD ,132500,70,2192.0,1.0
RL,CollgCr,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,5,Typ,Attchd,RFn,440.0,Y,WD ,143000,15,1980.0,2.0
RL,Edwards,Norm,5,CompShg,0.0,3,2,Ex,Y,SBrkr,TA,7,Typ,Detchd,Unf,256.0,Y,WD ,125000,56,2684.0,2.0
RL,NridgHt,Norm,9,CompShg,568.0,5,5,Ex,Y,SBrkr,Ex,7,Typ,Attchd,Fin,1085.0,Y,WD ,415000,1,3736.0,3.0
RM,OldTown,Norm,4,CompShg,0.0,3,2,Gd,Y,SBrkr,TA,6,Typ,Detchd,Unf,528.0,Y,WD ,125500,100,1985.0,1.0
RL,NAmes,Norm,6,CompShg,183.0,3,3,Gd,Y,SBrkr,TA,6,Min1,Attchd,RFn,338.0,Y,WD ,139000,51,2872.0,3.0
RL,NridgHt,Norm,10,CompShg,420.0,5,5,Ex,Y,SBrkr,Ex,10,Typ,BuiltIn,RFn,842.0,Y,ConLI,451950,1,4018.0,3.5
RL,Edwards,Norm,5,CompShg,74.0,3,3,TA,Y,SBrkr,TA,10,Typ,None,None,0.0,Y,WD ,119900,50,3356.0,2.0
RL,Timber,Norm,8,CompShg,136.0,4,5,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Fin,471.0,Y,WD ,220000,8,2563.0,3.0
RL,NAmes,Norm,6,CompShg,302.0,3,3,TA,Y,SBrkr,TA,7,Typ,Attchd,Unf,525.0,Y,WD ,167300,36,3174.0,2.0
RL,Edwards,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Detchd,Unf,256.0,Y,WD ,122000,68,2018.0,1.0
RM,Sawyer,Norm,5,CompShg,336.0,3,3,TA,Y,SBrkr,TA,10,Typ,Detchd,Unf,504.0,Y,ConLI,125000,43,3456.0,3.0
RM,OldTown,Norm,5,CompShg,0.0,3,3,Gd,Y,FuseA,TA,5,Typ,Attchd,Fin,288.0,Y,WD ,112500,51,1856.0,1.0
RL,CollgCr,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,578.0,Y,WD ,191000,2,2674.0,2.5
RL,NAmes,Norm,6,CompShg,135.0,3,3,Gd,Y,SBrkr,TA,5,Typ,Attchd,Unf,288.0,Y,WD ,136000,50,2160.0,1.0
RL,CollgCr,Norm,7,CompShg,0.0,3,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,546.0,Y,WD ,197900,11,2645.0,2.5
RM,OldTown,Norm,6,CompShg,0.0,3,3,Gd,Y,SBrkr,Gd,5,Typ,Attchd,Unf,255.0,Y,WD ,117000,96,2120.0,1.0
RL,CollgCr,Norm,7,CompShg,84.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,632.0,Y,New,194000,0,2419.0,3.0
FV,Somerst,Norm,9,CompShg,179.0,4,5,Ex,Y,SBrkr,Gd,5,Typ,Attchd,RFn,545.0,Y,WD ,285000,7,2620.0,2.5
RL,Edwards,Norm,5,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,6,Typ,None,None,0.0,Y,WD ,127500,68,1999.0,3.0
RL,NoRidge,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,9,Typ,Attchd,RFn,590.0,Y,WD ,268000,14,3390.0,3.5
RM,OldTown,Norm,4,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,7,Typ,Detchd,Unf,342.0,N,WD ,137000,107,2873.0,2.5
RL,NWAmes,Norm,7,CompShg,0.0,3,3,Ex,Y,SBrkr,Gd,8,Typ,Attchd,Unf,578.0,Y,WD ,215000,41,3240.0,2.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Attchd,RFn,336.0,Y,WD ,129500,52,2432.0,2.0
RM,BrkSide,Norm,5,CompShg,0.0,3,4,Gd,Y,FuseA,TA,7,Typ,Detchd,Unf,240.0,Y,WD ,115000,70,2240.0,1.0
RL,OldTown,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,288.0,N,WD ,114000,83,1906.0,1.0
RH,SawyerW,Norm,4,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,384.0,Y,WD ,107000,40,2112.0,2.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Detchd,Unf,336.0,Y,COD,118500,61,2048.0,1.0
RM,BrkSide,Norm,6,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,BuiltIn,RFn,208.0,Y,WD ,120000,79,2020.0,1.0
RL,Somerst,Norm,8,CompShg,148.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,484.0,Y,WD ,260000,2,3076.0,3.0
RL,NAmes,Norm,5,CompShg,150.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,308.0,Y,WD ,136000,51,2286.0,2.0
RL,NAmes,Norm,4,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,480.0,Y,WD ,123000,36,1730.0,1.0
RM,IDOTRR,Norm,6,CompShg,0.0,3,3,TA,Y,FuseA,Fa,6,Typ,None,None,0.0,N,WD ,89500,88,1725.0,1.0
RL,Gilbert,Norm,6,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Fin,430.0,Y,WD ,199500,5,2648.0,2.0
RL,Sawyer,Norm,5,CompShg,41.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,Unf,408.0,Y,WD ,109900,42,1780.0,1.0
RL,Crawfor,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,9,Typ,Detchd,Unf,282.0,Y,WD ,234000,83,3356.0,1.5
RM,CollgCr,Norm,6,CompShg,169.0,4,4,Ex,Y,SBrkr,Gd,3,Typ,Attchd,RFn,420.0,Y,WD ,155900,2,1696.0,2.0
RL,ClearCr,Norm,4,CompShg,0.0,3,3,Ex,Y,FuseA,TA,8,Min2,Attchd,Unf,304.0,Y,WD ,161500,52,2892.0,2.0
RL,Timber,Norm,6,CompShg,541.0,3,3,Gd,Y,FuseA,Gd,7,Typ,Basment,RFn,525.0,Y,COD,137500,51,2163.0,1.5
RM,OldTown,Norm,5,CompShg,0.0,3,3,Fa,N,FuseF,Fa,12,Typ,None,None,0.0,N,WD ,76500,100,3096.0,2.0
RL,ClearCr,Norm,6,CompShg,268.0,4,4,TA,Y,SBrkr,TA,8,Typ,Attchd,Unf,521.0,Y,WD ,211000,19,3211.0,3.0
RH,NAmes,Norm,6,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Attchd,Fin,511.0,Y,COD,181000,10,2742.0,3.0
RL,NAmes,Norm,6,CompShg,183.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,490.0,Y,WD ,174900,42,2292.0,2.5
RL,Sawyer,Norm,5,CompShg,97.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Attchd,RFn,564.0,Y,WD ,164500,40,2484.0,2.0
RL,NridgHt,Norm,7,CompShg,168.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,532.0,Y,WD ,214000,6,3052.0,2.0
RL,NWAmes,Norm,7,CompShg,280.0,3,4,TA,Y,SBrkr,TA,7,Min1,Attchd,Unf,489.0,Y,WD ,185000,28,2782.0,2.5
RM,BrkSide,Norm,4,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Detchd,Unf,336.0,Y,WD ,123000,79,1840.0,1.5
RL,Mitchel,Norm,6,CompShg,0.0,3,4,TA,Y,SBrkr,Gd,5,Typ,BuiltIn,RFn,486.0,Y,WD ,183500,28,2300.0,3.0
FV,Somerst,Norm,8,CompShg,456.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Detchd,Unf,492.0,Y,WD ,174000,8,2217.0,2.5
RL,Edwards,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Mod,Detchd,Unf,649.0,P,COD,130000,54,2703.0,2.0
RM,OldTown,Norm,7,CompShg,0.0,3,3,Ex,Y,SBrkr,Ex,6,Typ,Detchd,Unf,546.0,Y,WD ,178000,81,2369.0,2.0
RL,Gilbert,Norm,5,CompShg,0.0,3,4,Gd,Y,SBrkr,TA,6,Typ,Attchd,Fin,482.0,Y,WD ,189900,13,2557.0,2.5
RM,CollgCr,Norm,6,CompShg,170.0,4,4,Ex,Y,SBrkr,Gd,4,Typ,Attchd,Fin,420.0,Y,WD ,144000,6,1696.0,2.0
RM,IDOTRR,Norm,6,CompShg,0.0,4,3,Ex,Y,SBrkr,TA,5,Typ,Detchd,Unf,432.0,Y,WD ,120500,78,1632.0,1.0
RL,CollgCr,Norm,5,CompShg,0.0,3,4,Ex,Y,SBrkr,TA,6,Typ,Attchd,Unf,672.0,Y,WD ,145000,15,2194.0,1.5
RL,StoneBr,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Ex,6,Typ,Attchd,RFn,499.0,Y,WD ,251000,7,3146.0,3.0
RL,Sawyer,Norm,4,CompShg,0.0,3,3,TA,N,SBrkr,TA,8,Typ,None,None,0.0,Y,WD ,136500,42,3536.0,2.0
RL,Edwards,Norm,4,CompShg,58.0,3,3,TA,N,FuseF,TA,6,Typ,None,None,0.0,N,WD ,82500,53,1152.0,2.0
I (all),IDOTRR,Norm,2,CompShg,0.0,2,3,TA,N,FuseA,TA,4,Min1,Detchd,Unf,280.0,N,ConLD,57625,99,810.0,1.0
RL,NridgHt,Norm,7,CompShg,176.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,484.0,Y,WD ,212500,2,2708.0,3.0
RM,Mitchel,Norm,6,CompShg,116.0,3,5,Ex,Y,SBrkr,TA,5,Typ,Attchd,Unf,402.0,Y,WD ,164000,8,2432.0,3.0
RM,IDOTRR,Norm,6,CompShg,327.0,3,3,Gd,Y,SBrkr,Gd,6,Typ,Detchd,Unf,384.0,Y,WD ,139000,49,2605.0,2.0
FV,Somerst,Norm,7,CompShg,212.0,4,4,Ex,Y,SBrkr,Gd,4,Typ,Detchd,Unf,462.0,Y,WD ,160000,9,1852.0,3.5
RL,Mitchel,Norm,5,CompShg,0.0,3,4,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,698.0,Y,WD ,149000,17,1711.0,2.0
RL,Mitchel,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Attchd,RFn,288.0,Y,WD ,130000,41,1738.0,2.0
RM,OldTown,Feedr,7,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,9,Typ,Detchd,Unf,480.0,Y,WD ,140000,89,2286.0,2.0
FV,Somerst,Norm,8,CompShg,288.0,4,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,Fin,517.0,Y,New,264500,1,3672.0,2.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,FuseA,TA,6,Typ,Attchd,Fin,299.0,Y,WD ,141000,49,2184.0,2.0
FV,Somerst,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,4,Typ,Attchd,Fin,569.0,Y,New,199900,1,2482.0,2.5
RL,NWAmes,Norm,6,CompShg,360.0,3,4,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,630.0,Y,WD ,167900,32,2684.0,2.5
RL,NAmes,Norm,6,CompShg,85.0,3,3,Ex,Y,SBrkr,Gd,7,Typ,Attchd,Unf,572.0,Y,WD ,181900,47,2573.0,1.5
FV,Somerst,Norm,8,CompShg,36.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,750.0,Y,WD ,262500,2,3132.0,3.0
RL,NWAmes,Norm,7,CompShg,283.0,3,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,RFn,520.0,Y,WD ,230000,32,3196.0,2.0
FV,Somerst,Norm,9,CompShg,60.0,4,5,Ex,Y,SBrkr,Gd,5,Typ,Attchd,Fin,506.0,Y,CWD,328900,9,3407.0,3.0
RL,NridgHt,Norm,8,CompShg,210.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,554.0,Y,WD ,232698,2,3442.0,3.0
RL,CollgCr,Norm,8,CompShg,140.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Attchd,RFn,810.0,Y,WD ,221800,1,2508.0,3.0
RL,Sawyer,Norm,5,CompShg,0.0,3,3,Gd,Y,SBrkr,Gd,6,Min1,2Types,Unf,627.0,N,WD ,152400,67,1926.0,2.5
RL,CollgCr,Norm,7,CompShg,171.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Unf,451.0,Y,WD ,213000,9,3260.0,2.0
RL,SawyerW,Norm,7,CompShg,96.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,449.0,Y,WD ,184900,1,2369.0,2.5
RL,Crawfor,Norm,5,CompShg,56.0,3,3,TA,Y,SBrkr,TA,5,Typ,Attchd,Unf,375.0,Y,WD ,157000,53,2501.0,2.0
RL,Sawyer,Norm,5,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,6,Min1,Detchd,Unf,576.0,Y,WD ,144000,44,2075.0,1.0
RL,NWAmes,Norm,6,CompShg,253.0,3,4,Ex,Y,SBrkr,TA,5,Typ,Attchd,RFn,478.0,Y,WD ,192350,28,2612.0,3.0
RL,NAmes,Norm,7,CompShg,202.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Attchd,RFn,440.0,Y,CWD,163500,41,2374.0,2.5
RL,SawyerW,Norm,7,CompShg,99.0,3,4,Ex,Y,SBrkr,Gd,10,Typ,Attchd,Unf,514.0,Y,WD ,262280,18,3804.0,3.5
RL,CollgCr,Norm,7,CompShg,113.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,532.0,Y,WD ,214000,6,3072.0,3.0
RL,Crawfor,Norm,6,CompShg,0.0,3,3,Ex,Y,SBrkr,Ex,6,Typ,Attchd,Fin,470.0,Y,WD ,230000,50,2884.0,1.0
RL,NridgHt,Norm,7,CompShg,350.0,4,5,Ex,Y,SBrkr,Gd,9,Typ,Attchd,RFn,947.0,Y,New,280000,1,3235.0,2.5
C (all),IDOTRR,Norm,4,CompShg,0.0,3,3,Gd,Y,FuseA,TA,6,Typ,Detchd,Unf,720.0,Y,WD ,140000,50,2146.0,2.0
RL,NAmes,Norm,6,CompShg,351.0,3,3,TA,Y,SBrkr,TA,7,Typ,Attchd,Unf,442.0,Y,WD ,155000,44,2595.0,1.5
C (all),IDOTRR,Norm,3,CompShg,0.0,2,3,Fa,N,FuseP,Fa,5,Typ,None,None,0.0,N,ConLD,64500,88,2040.0,1.0
RL,SawyerW,Norm,6,CompShg,85.0,4,4,Ex,Y,SBrkr,Gd,8,Typ,2Types,RFn,1017.0,Y,WD ,218000,17,2748.0,3.0
RL,CollgCr,Norm,5,CompShg,51.0,3,3,TA,Y,SBrkr,TA,6,Typ,Detchd,Unf,576.0,Y,WD ,160000,30,2004.0,2.0
FV,Somerst,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,598.0,Y,New,208900,0,2676.0,2.0
RL,Edwards,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,Ex,11,Typ,Attchd,Unf,624.0,Y,WD ,284700,49,3820.0,3.5
FV,Somerst,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Detchd,Unf,540.0,Y,WD ,146000,1,2081.0,2.0
RL,Veenker,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Ex,4,Typ,Attchd,Fin,500.0,Y,WD ,245500,12,2548.0,2.5
RM,BrkSide,Norm,6,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Detchd,Unf,160.0,Y,WD ,113000,82,2005.0,1.0
RL,NridgHt,Norm,8,CompShg,238.0,4,5,Ex,Y,SBrkr,Gd,7,Typ,Attchd,Fin,932.0,Y,WD ,296000,5,3564.0,3.0
RL,StoneBr,Norm,9,CompShg,200.0,4,5,Ex,Y,SBrkr,Gd,8,Typ,Attchd,Fin,676.0,Y,WD ,377426,2,3844.0,3.0
RL,NridgHt,Norm,10,CompShg,230.0,5,5,Ex,Y,SBrkr,Ex,7,Typ,Attchd,Fin,786.0,Y,WD ,337500,3,3418.0,3.0
RL,NridgHt,Norm,10,CompShg,730.0,5,5,Ex,Y,SBrkr,Ex,8,Typ,Attchd,Fin,949.0,Y,WD ,552000,5,4984.0,3.5
RL,Edwards,Norm,4,CompShg,0.0,3,2,Ex,Y,SBrkr,TA,5,Typ,Attchd,Unf,265.0,Y,WD ,97900,58,1560.0,1.0
FV,Somerst,Norm,6,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,4,Typ,Attchd,Fin,676.0,Y,New,208300,0,2436.0,2.0
RL,Mitchel,Norm,7,CompShg,0.0,3,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,Unf,816.0,Y,WD ,213000,12,2730.0,2.5
RL,CollgCr,Norm,7,CompShg,0.0,3,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,Fin,527.0,Y,WD ,188000,10,2604.0,2.5
RL,NAmes,Norm,6,CompShg,632.0,3,3,Ex,Y,FuseA,TA,7,Typ,Attchd,RFn,488.0,Y,WD ,162000,48,2457.0,1.5
RM,IDOTRR,Norm,5,CompShg,0.0,3,3,TA,Y,FuseA,TA,6,Typ,Attchd,Unf,282.0,Y,WD ,152000,57,2468.0,1.5
FV,Somerst,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,RFn,678.0,Y,WD ,254900,6,2938.0,2.5
RL,SawyerW,Norm,7,CompShg,145.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,483.0,Y,WD ,189000,14,2489.0,2.5
RL,NWAmes,Norm,7,CompShg,383.0,4,4,TA,Y,SBrkr,Gd,7,Typ,Attchd,Fin,550.0,Y,WD ,235000,30,4112.0,3.0
RL,Edwards,Norm,5,CompShg,0.0,3,3,TA,N,SBrkr,TA,5,Typ,Detchd,Unf,240.0,Y,ConLD,125000,58,2328.0,2.0
RL,NPkVill,Norm,7,CompShg,0.0,3,4,Ex,Y,SBrkr,TA,4,Typ,Attchd,Unf,308.0,Y,WD ,120000,35,1672.0,1.0
A (agr),Mitchel,Norm,1,CompShg,0.0,3,3,TA,Y,FuseA,TA,6,Mod,Attchd,Unf,270.0,N,WD ,81500,55,1600.0,1.5
RL,Edwards,Norm,6,CompShg,104.0,3,4,TA,Y,SBrkr,TA,5,Typ,None,None,0.0,Y,WD ,118500,17,1632.0,2.0
FV,Somerst,Norm,9,CompShg,162.0,5,5,Ex,Y,SBrkr,Ex,7,Typ,Attchd,Fin,478.0,Y,New,370878,0,3532.0,3.5
RH,Crawfor,Norm,5,CompShg,0.0,3,3,TA,N,FuseA,TA,8,Typ,2Types,Unf,871.0,Y,WD ,145000,58,3003.0,2.0
RL,Crawfor,Norm,7,CompShg,312.0,4,3,Ex,Y,SBrkr,Gd,8,Typ,Attchd,Unf,431.0,Y,WD ,311500,69,2752.0,2.0
RL,Blmngtn,Norm,7,CompShg,14.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Fin,437.0,Y,New,210250,0,2584.0,3.0
RL,CollgCr,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,8,Typ,BuiltIn,RFn,492.0,Y,WD ,200000,4,2777.0,3.5
RL,Mitchel,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,Gd,8,Typ,Attchd,Unf,539.0,Y,COD,126000,32,1734.0,2.0
RL,OldTown,Norm,4,CompShg,0.0,4,2,Gd,Y,SBrkr,TA,6,Typ,Detchd,Unf,281.0,N,WD ,114000,109,1444.0,1.0
RM,OldTown,Norm,4,CompShg,0.0,4,2,TA,Y,SBrkr,Gd,7,Typ,Detchd,Unf,720.0,N,WD ,87500,99,2187.0,2.0
RL,StoneBr,Norm,8,CompShg,146.0,4,5,Ex,Y,SBrkr,Ex,10,Typ,BuiltIn,Fin,729.0,Y,WD ,349265,2,3690.0,4.5
RL,SawyerW,Norm,8,Tar&Grv,264.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,845.0,Y,WD ,203000,5,3024.0,2.0
RL,SawyerW,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,527.0,Y,WD ,189000,8,2888.0,2.0
FV,Somerst,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,628.0,Y,WD ,209000,6,2465.0,3.5
RM,OldTown,Norm,6,CompShg,0.0,3,2,Gd,Y,FuseA,Ex,8,Typ,Detchd,Unf,357.0,Y,WD ,160000,109,2924.0,2.0
RL,Sawyer,Norm,5,CompShg,44.0,3,2,TA,Y,SBrkr,TA,5,Typ,Attchd,RFn,431.0,Y,WD ,129000,33,2074.0,2.0
RL,Mitchel,Norm,5,CompShg,0.0,3,4,Gd,Y,SBrkr,TA,6,Typ,Attchd,RFn,418.0,Y,WD ,170000,32,2778.0,2.0
RL,Crawfor,Norm,5,CompShg,0.0,3,3,TA,N,SBrkr,Gd,4,Typ,Detchd,Unf,352.0,P,WD ,90350,94,1134.0,1.0
RL,Edwards,Norm,6,CompShg,0.0,3,3,Fa,N,FuseF,TA,5,Typ,None,None,0.0,N,WD ,79000,84,1668.0,1.0
RL,CollgCr,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Attchd,Unf,552.0,Y,WD ,149900,34,1788.0,2.0
RL,NAmes,Norm,5,CompShg,0.0,3,4,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,576.0,Y,WD ,123000,37,1728.0,2.0
RM,OldTown,Norm,4,CompShg,0.0,3,3,Fa,N,SBrkr,TA,8,Min2,2Types,Unf,779.0,N,WD ,87000,106,2869.0,3.0
RL,Mitchel,Norm,6,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,Fin,358.0,Y,WD ,171000,31,2214.0,2.0
RL,NAmes,Norm,6,CompShg,0.0,3,3,TA,Y,FuseA,TA,6,Typ,Attchd,Unf,288.0,Y,WD ,119000,58,2284.0,1.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,Unf,672.0,Y,WD ,132500,50,2296.0,2.0
RM,OldTown,Norm,8,CompShg,0.0,3,3,Fa,Y,SBrkr,Gd,7,Typ,Detchd,Unf,228.0,Y,WD ,161000,83,2254.0,1.0
RL,CollgCr,Norm,9,CompShg,134.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,BuiltIn,Fin,725.0,Y,WD ,274000,7,3304.0,3.5
RL,Sawyer,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,336.0,Y,WD ,125000,43,1824.0,1.0
RL,Edwards,Norm,5,CompShg,0.0,3,3,TA,N,SBrkr,TA,8,Typ,None,None,0.0,N,WD ,98500,61,2390.0,2.0
RL,NoRidge,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Attchd,RFn,757.0,Y,WD ,262000,12,3248.0,3.0
RL,CollgCr,Norm,5,CompShg,40.0,3,3,TA,Y,SBrkr,TA,5,Typ,Attchd,Unf,444.0,Y,WD ,134900,30,1828.0,2.0
RL,Timber,Norm,5,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,5,Typ,Attchd,RFn,308.0,P,WD ,170000,48,2678.0,2.0
RL,Crawfor,Norm,6,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Detchd,Unf,225.0,N,WD ,135000,81,2147.0,1.0
RL,NoRidge,Norm,6,CompShg,304.0,4,4,Ex,Y,SBrkr,Gd,9,Typ,Attchd,RFn,473.0,Y,WD ,290000,18,3613.0,3.5
RL,Gilbert,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,462.0,Y,New,173500,0,2504.0,2.0
RL,Edwards,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,Ex,8,Typ,Attchd,Unf,230.0,Y,WD ,225000,58,2904.0,4.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,440.0,Y,CWD,140500,46,2051.0,2.0
RL,CollgCr,Norm,5,CompShg,0.0,3,4,Gd,Y,SBrkr,TA,5,Typ,Attchd,Unf,299.0,Y,WD ,126000,13,1980.0,1.0
FV,Somerst,Norm,8,CompShg,466.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Detchd,Unf,480.0,Y,WD ,170000,9,2546.0,3.5
RL,CollgCr,Norm,5,CompShg,0.0,3,4,Ex,Y,SBrkr,TA,5,Typ,Attchd,Unf,576.0,Y,WD ,156000,11,1980.0,1.5
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,319.0,Y,WD ,207500,49,3084.0,2.0
FV,Somerst,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,Fin,590.0,Y,New,255000,0,2688.0,2.5
RM,MeadowV,Norm,4,CompShg,0.0,3,4,TA,Y,SBrkr,TA,4,Typ,BuiltIn,RFn,297.0,Y,WD ,94900,35,1450.0,2.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,338.0,Y,WD ,140000,49,2340.0,1.5
RM,OldTown,Norm,3,CompShg,0.0,3,3,Gd,Y,FuseA,TA,7,Typ,Detchd,Unf,216.0,N,WD ,96900,101,2114.0,1.0
RL,NAmes,Norm,5,CompShg,200.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Attchd,RFn,480.0,Y,WD ,154000,43,2308.0,1.5
RM,OldTown,Norm,8,CompShg,0.0,4,3,Ex,N,SBrkr,Gd,7,Typ,Detchd,Unf,816.0,Y,WD ,184900,97,2497.0,2.5
RL,NridgHt,PosN,10,CompShg,816.0,5,5,Ex,Y,SBrkr,Ex,7,Typ,Attchd,Fin,1220.0,Y,New,385000,1,4162.0,3.0
RM,IDOTRR,Norm,4,CompShg,0.0,3,3,Ex,N,SBrkr,TA,6,Typ,Detchd,Unf,327.0,Y,WD ,106500,70,1902.0,1.0
RL,NoRidge,Norm,8,CompShg,150.0,4,4,Ex,Y,SBrkr,Gd,10,Typ,BuiltIn,RFn,810.0,Y,WD ,327000,9,4142.0,3.5
RL,Somerst,PosN,9,CompShg,198.0,5,5,Ex,Y,SBrkr,Ex,9,Typ,Attchd,Fin,795.0,Y,WD ,468000,4,4948.0,3.0
RM,IDOTRR,Norm,6,CompShg,0.0,3,3,TA,Y,FuseA,TA,4,Typ,Detchd,Unf,384.0,Y,WD ,135000,82,2870.0,1.0
